"Timestamp","Direction","Topic","Payload"
"2026-08-05T13:15:31.646Z","IN","m360/DF/0000/out/1/3/1/0/37","156"
"2026-08-05T13:15:31.686Z","IN","m360/DF/0000/out/1/4/1/0/37","944"
"2026-08-05T13:15:31.844Z","IN","m360/DF/0000/out/1/5/1/0/37","467"
"2026-08-05T13:15:31.844Z","IN","m360/DF/0000/out/1/6/1/0/37","690"
"2026-08-05T13:15:46.236Z","IN","m360/DF/0000/out/2/1/1/0/37","59"
"2026-08-05T13:15:46.304Z","IN","m360/DF/0000/out/2/2/1/0/37","1023"
"2026-08-05T13:15:46.333Z","IN","m360/DF/0000/out/2/3/1/0/37","1023"
"2026-08-05T13:15:46.364Z","IN","m360/DF/0000/out/2/4/1/0/37","1021"
"2026-08-05T13:15:46.391Z","IN","m360/DF/0000/out/2/5/1/0/37","1010"
"2026-08-05T13:15:46.422Z","IN","m360/DF/0000/out/2/6/1/0/37","883"
"2026-08-05T13:16:23.392Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505358,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505358,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:16:23.493Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505358,""isConnected"":true,""connectionTime"":409012,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505358,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:16:31.622Z","IN","m360/DF/0000/out/1/1/1/0/37","1012"
"2026-08-05T13:16:31.644Z","IN","m360/DF/0000/out/1/2/1/0/37","935"
"2026-08-05T13:16:31.680Z","IN","m360/DF/0000/out/1/3/1/0/37","185"
"2026-08-05T13:16:31.721Z","IN","m360/DF/0000/out/1/4/1/0/37","943"
"2026-08-05T13:16:31.763Z","IN","m360/DF/0000/out/1/5/1/0/37","463"
"2026-08-05T13:16:31.847Z","IN","m360/DF/0000/out/1/6/1/0/37","695"
"2026-08-05T13:16:46.229Z","IN","m360/DF/0000/out/2/1/1/0/37","88"
"2026-08-05T13:16:46.431Z","IN","m360/DF/0000/out/2/2/1/0/37","1004"
"2026-08-05T13:16:46.431Z","IN","m360/DF/0000/out/2/3/1/0/37","1022"
"2026-08-05T13:16:46.435Z","IN","m360/DF/0000/out/2/4/1/0/37","1022"
"2026-08-05T13:16:46.435Z","IN","m360/DF/0000/out/2/5/1/0/37","1013"
"2026-08-05T13:16:46.435Z","IN","m360/DF/0000/out/2/6/1/0/37","873"
"2026-08-05T13:17:23.396Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505418,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505418,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:17:23.456Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505418,""isConnected"":true,""connectionTime"":409072,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505418,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:17:31.713Z","IN","m360/DF/0000/out/1/1/1/0/37","1008"
"2026-08-05T13:17:31.746Z","IN","m360/DF/0000/out/1/2/1/0/37","940"
"2026-08-05T13:17:31.778Z","IN","m360/DF/0000/out/1/4/1/0/37","936"
"2026-08-05T13:17:31.941Z","IN","m360/DF/0000/out/1/5/1/0/37","435"
"2026-08-05T13:17:31.942Z","IN","m360/DF/0000/out/1/6/1/0/37","687"
"2026-08-05T13:17:46.252Z","IN","m360/DF/0000/out/2/1/1/0/37","62"
"2026-08-05T13:17:46.336Z","IN","m360/DF/0000/out/2/2/1/0/37","1023"
"2026-08-05T13:17:46.336Z","IN","m360/DF/0000/out/2/3/1/0/37","1021"
"2026-08-05T13:17:46.413Z","IN","m360/DF/0000/out/2/4/1/0/37","1023"
"2026-08-05T13:17:46.414Z","IN","m360/DF/0000/out/2/5/1/0/37","1018"
"2026-08-05T13:17:46.460Z","IN","m360/DF/0000/out/2/6/1/0/37","866"
"2026-08-05T13:18:23.401Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505478,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505478,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:18:23.505Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505478,""isConnected"":true,""connectionTime"":409132,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505478,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:18:31.806Z","IN","m360/DF/0000/out/1/1/1/0/37","1012"
"2026-08-05T13:18:31.829Z","IN","m360/DF/0000/out/1/2/1/0/37","942"
"2026-08-05T13:18:31.851Z","IN","m360/DF/0000/out/1/3/1/0/37","210"
"2026-08-05T13:18:31.876Z","IN","m360/DF/0000/out/1/4/1/0/37","945"
"2026-08-05T13:18:31.923Z","IN","m360/DF/0000/out/1/5/1/0/37","453"
"2026-08-05T13:18:32.034Z","IN","m360/DF/0000/out/1/6/1/0/37","690"
"2026-08-05T13:18:46.287Z","IN","m360/DF/0000/out/2/1/1/0/37","102"
"2026-08-05T13:18:46.392Z","IN","m360/DF/0000/out/2/2/1/0/37","1004"
"2026-08-05T13:18:46.392Z","IN","m360/DF/0000/out/2/3/1/0/37","1019"
"2026-08-05T13:18:46.440Z","IN","m360/DF/0000/out/2/5/1/0/37","1013"
"2026-08-05T13:18:46.441Z","IN","m360/DF/0000/out/2/6/1/0/37","880"
"2026-08-05T13:19:23.411Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505538,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505538,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:19:23.473Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505538,""isConnected"":true,""connectionTime"":409192,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505538,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:19:31.916Z","IN","m360/DF/0000/out/1/2/1/0/37","932"
"2026-08-05T13:19:31.963Z","IN","m360/DF/0000/out/1/3/1/0/37","173"
"2026-08-05T13:19:32.020Z","IN","m360/DF/0000/out/1/5/1/0/37","457"
"2026-08-05T13:19:32.062Z","IN","m360/DF/0000/out/1/6/1/0/37","694"
"2026-08-05T13:19:46.305Z","IN","m360/DF/0000/out/2/1/1/0/37","55"
"2026-08-05T13:19:46.361Z","IN","m360/DF/0000/out/2/2/1/0/37","1009"
"2026-08-05T13:19:46.380Z","IN","m360/DF/0000/out/2/5/1/0/37","992"
"2026-08-05T13:19:46.399Z","IN","m360/DF/0000/out/2/6/1/0/37","871"
"2026-08-05T13:20:23.418Z","IN","m360/DF/0000/out/events","{""event"":""node_lost"",""nodeId"":99,""timestamp"":505598,""rssi"":-61,""details"":""Inactivity detected: timeout 300 s""}"
"2026-08-05T13:20:23.476Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505598,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505598,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:20:23.477Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505598,""isConnected"":true,""connectionTime"":409252,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505598,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:20:31.973Z","IN","m360/DF/0000/out/1/1/1/0/37","1004"
"2026-08-05T13:20:31.996Z","IN","m360/DF/0000/out/1/2/1/0/37","938"
"2026-08-05T13:20:32.021Z","IN","m360/DF/0000/out/1/3/1/0/37","159"
"2026-08-05T13:20:32.041Z","IN","m360/DF/0000/out/1/4/1/0/37","934"
"2026-08-05T13:20:32.065Z","IN","m360/DF/0000/out/1/5/1/0/37","435"
"2026-08-05T13:20:32.217Z","IN","m360/DF/0000/out/1/6/1/0/37","674"
"2026-08-05T13:20:46.359Z","IN","m360/DF/0000/out/2/2/1/0/37","1005"
"2026-08-05T13:20:46.422Z","IN","m360/DF/0000/out/2/5/1/0/37","1013"
"2026-08-05T13:20:46.445Z","IN","m360/DF/0000/out/2/6/1/0/37","879"
"2026-08-05T13:21:23.413Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505658,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505658,""rssi"":-59,""wifiRssi"":-59,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:21:23.471Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505658,""isConnected"":true,""connectionTime"":409312,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505658,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:21:32.029Z","IN","m360/DF/0000/out/1/1/1/0/37","1012"
"2026-08-05T13:21:32.065Z","IN","m360/DF/0000/out/1/2/1/0/37","941"
"2026-08-05T13:21:32.090Z","IN","m360/DF/0000/out/1/3/1/0/37","182"
"2026-08-05T13:21:32.113Z","IN","m360/DF/0000/out/1/4/1/0/37","941"
"2026-08-05T13:21:32.317Z","IN","m360/DF/0000/out/1/5/1/0/37","447"
"2026-08-05T13:21:32.317Z","IN","m360/DF/0000/out/1/6/1/0/37","681"
"2026-08-05T13:21:41.494Z","IN","m360/DF/0000/out/events","{""event"":""node_reconnected"",""nodeId"":99,""timestamp"":505676,""rssi"":-62,""details"":""Node back online or discovered""}"
"2026-08-05T13:21:41.557Z","IN","m360/DF/0000/out/99/21/1/0/34","0"
"2026-08-05T13:21:46.320Z","IN","m360/DF/0000/out/2/1/1/0/37","61"
"2026-08-05T13:21:46.362Z","IN","m360/DF/0000/out/2/2/1/0/37","1004"
"2026-08-05T13:21:46.401Z","IN","m360/DF/0000/out/2/3/1/0/37","1023"
"2026-08-05T13:21:46.438Z","IN","m360/DF/0000/out/2/5/1/0/37","1011"
"2026-08-05T13:21:46.486Z","IN","m360/DF/0000/out/2/6/1/0/37","890"
"2026-08-05T13:22:23.417Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505718,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505718,""rssi"":-62,""wifiRssi"":-62,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:22:23.636Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505718,""isConnected"":true,""connectionTime"":409372,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505718,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:22:32.096Z","IN","m360/DF/0000/out/1/1/1/0/37","1013"
"2026-08-05T13:22:32.122Z","IN","m360/DF/0000/out/1/2/1/0/37","938"
"2026-08-05T13:22:32.144Z","IN","m360/DF/0000/out/1/3/1/0/37","184"
"2026-08-05T13:22:32.330Z","IN","m360/DF/0000/out/1/4/1/0/37","940"
"2026-08-05T13:22:32.331Z","IN","m360/DF/0000/out/1/5/1/0/37","430"
"2026-08-05T13:22:32.331Z","IN","m360/DF/0000/out/1/6/1/0/37","657"
"2026-08-05T13:22:46.289Z","IN","m360/DF/0000/out/2/1/1/0/37","55"
"2026-08-05T13:22:46.353Z","IN","m360/DF/0000/out/2/3/1/0/37","1019"
"2026-08-05T13:22:46.353Z","IN","m360/DF/0000/out/2/5/1/0/37","947"
